Sample,Cami,Heidi,Urza,Lily,Fritzy,Anda_Vito,ThorA,Anda,Vito,Charlie
sample_16,0.0,0.18181818181818182,0.045454545454545456,0.125,0.35,0.0,0.0051813471502590676,0.7550200803212851,0.16279069767441862,0.0
sample_17,0.0026553372278279343,0.2116279069767442,0.008908685968819599,0.168141592920354,0.6666666666666666,0.0,0.003641660597232338,0.7521568627450981,0.1590909090909091,0.0
sample_18,0.0,0.2727272727272727,0.0,0.0,0.5,0.0,0.0,0.7560975609756098,0.0,0.0
sample_19,0.0034762456546929316,0.21348314606741572,0.11538461538461539,0.23076923076923078,0.546875,0.0,0.004429678848283499,0.7666098807495741,0.1509433962264151,0.0
sample_20,,,,,,,,,,
sample_21,0.0,0.11764705882352941,0.0,0.3333333333333333,0.4,0.0,0.026845637583892617,0.7951807228915663,0.2,0.0
sample_22,0.00253210345451257,0.136431784107946,0.006069802731411229,0.2727272727272727,0.7987152034261242,0.006729475100942127,0.0010501260151218146,0.7384652744050509,0.06638418079096045,0.0007209805335255948
sample_23,0.0022376926902038788,0.09970384995064166,0.006263048016701462,0.28,0.7760989010989011,0.0057692307692307696,0.0018466804792361049,0.7579672695951766,0.09259259259259259,0.0005031446540880503
sample_24,0.00022639800769753225,0.03682170542635659,0.011406844106463879,0.1810344827586207,0.8923076923076924,0.0016366612111292963,0.0011830819284235432,0.7295482295482295,0.08166969147005444,0.00042052144659377626
sample_25,0.0,0.08333333333333333,0.2,0.0,0.8571428571428571,0.0,0.0,0.7115384615384616,0.0,0.0196078431372549
sample_26,0.006230529595015576,0.5,0.012048192771084338,0.14285714285714285,0.38,0.010101010101010102,0.0005285412262156448,0.7237687366167024,0.13829787234042554,0.002551020408163265
sample_27,0.005063291139240506,0.30405405405405406,0.011560693641618497,0.16666666666666666,0.4946236559139785,0.005376344086021506,0.0070028011204481795,0.7502762430939226,0.2236842105263158,0.0
sample_28,0.002414951700965981,0.1400560224089636,0.006993006993006993,0.29411764705882354,0.7574671445639187,0.0014914243102162564,0.0020063534525998996,0.7421052631578947,0.10695187165775401,0.00021687269572760788
sample_29,0.031055900621118012,0.8333333333333334,0.0,0.25,0.0,0.0,0.0,0.7478991596638656,0.11764705882352941,0.0
sample_30,,,,,,,,,,
sample_31,0.0,1.0,0.0,,,0.0,,0.75,0.0,0.0
sample_32,0.25,,0.0,1.0,0.0,1.0,,1.0,,0.0
sample_33,0.17647058823529413,0.3333333333333333,,,,0.0,,0.5,0.5,0.16666666666666666
sample_34,0.0,,,,,0.0,,0.6666666666666666,,
sample_35,,,,,,,,,,
sample_36,0.019150467962562995,0.0,0.0,0.6185567010309279,0.0,0.9832810867293625,0.011088596194979174,0.9756762015956412,0.001288659793814433,0.0008532423208191126
sample_37,0.01797374148704627,0.0,0.0,0.27979274611398963,0.0008291873963515755,0.9722076560041951,0.019386005921770297,0.9882990039648003,0.0006184291898577613,0.00028876696505919725
sample_38,0.016736401673640166,0.0,0.0,0.45454545454545453,0.0,0.9818181818181818,0.04819277108433735,0.9866666666666667,0.0,0.0
sample_40,0.018716772267132767,0.0,0.0005980861244019139,0.41959798994974873,0.0026362038664323375,0.9764397905759162,0.012155870129058466,0.9797838270616493,0.0006006006006006006,0.0005813108559802354
sample_41,0.019043917605907502,0.0012121212121212121,0.0,0.919047619047619,0.0,0.9789184234647113,0.0037873840929868096,0.9432237651608367,0.0011273957158962795,0.00026041666666666666
sample_42,0.01881303335919317,0.0,0.0,0.44755244755244755,0.002652519893899204,0.9714285714285714,0.01666203832268814,0.9772430028773215,0.0014705882352941176,0.00038182512409316535
sample_44,0.02297165200391007,0.0,0.0,0.27586206896551724,0.0,0.957345971563981,0.022595078299776285,0.9879245283018868,0.004032258064516129,0.0022497187851518562
sample_46,0.0,0.0,,,0.0,,0.5,1.0,,0.0
sample_47,0.025219298245614034,0.0,0.0,0.6666666666666666,0.0,0.950354609929078,0.015549597855227882,0.9616564417177914,0.0,0.0
sample_48,0.0,,,,,,,,,
sample_49,0.02926829268292683,0.0,0.0,0.5,0.0,0.9310344827586207,0.011574074074074073,0.9545454545454546,0.0,0.0
sample_50,0.0,,,,,,0.0,1.0,,
sample_51,,,,,,,,,,
sample_52,0.043478260869565216,0.0,0.0,,0.0,0.5,,0.6666666666666666,,0.3333333333333333
sample_53,0.0,,,1.0,,,0.0,1.0,,0.0
sample_54,0.2857142857142857,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.47368421052631576,0.0,1.0
sample_55,0.0,,,,,,,1.0,,
sample_56,0.4166666666666667,0.0,0.0,,,0.3333333333333333,0.0,0.4074074074074074,0.0,0.14285714285714285
sample_57,0.01948051948051948,0.0,0.0,0.0,0.0,1.0,0.052980132450331126,0.98,0.0,0.0
